epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0668,1.79573,3.63724,1.67722,0.51936,0.30883,0.28919,0.15726,1.59842,3.20349,1.66671,0.0001456,0.0001456,0.0001456
2,100.563,1.52458,2.06438,1.45574,0.4357,0.62628,0.54386,0.31974,1.4492,1.60907,1.47788,0.00029087,0.00029087,0.00029087
3,139.613,1.39268,1.55137,1.34524,0.52546,0.68336,0.66636,0.39748,1.37884,1.39006,1.44287,0.000431185,0.000431185,0.000431185
4,178.787,1.3834,1.40899,1.35103,0.71171,0.71452,0.75631,0.46718,1.33211,1.15311,1.40155,0.000432478,0.000432478,0.000432478
5,219.954,1.3346,1.24382,1.32927,0.71011,0.75289,0.7828,0.5036,1.28367,1.03993,1.35701,0.00042497,0.00042497,0.00042497
6,258.433,1.31925,1.18853,1.33806,0.75144,0.78352,0.8026,0.51887,1.25552,0.97354,1.3304,0.000417463,0.000417463,0.000417463
7,296.396,1.26202,1.08136,1.28959,0.79765,0.75326,0.80115,0.52476,1.25339,0.945,1.32391,0.000409955,0.000409955,0.000409955
8,336.642,1.2446,1.00676,1.28239,0.79531,0.82383,0.86259,0.559,1.29647,0.89606,1.35888,0.000402447,0.000402447,0.000402447
9,377.183,1.21043,0.98505,1.25341,0.83476,0.8044,0.84966,0.5695,1.18589,0.8943,1.28776,0.00039494,0.00039494,0.00039494
10,416.196,1.18117,0.93453,1.24294,0.81037,0.80356,0.86141,0.57889,1.20452,0.80752,1.2941,0.000387433,0.000387433,0.000387433
11,455.395,1.20612,0.94522,1.25136,0.85543,0.83162,0.88727,0.59306,1.15695,0.82428,1.26819,0.000379925,0.000379925,0.000379925
12,495.55,1.14892,0.89245,1.22388,0.8427,0.84488,0.90192,0.61385,1.17759,0.78974,1.26059,0.000372418,0.000372418,0.000372418
13,536.672,1.13001,0.85691,1.2133,0.85528,0.828,0.8694,0.58,1.234,0.80879,1.303,0.00036491,0.00036491,0.00036491
14,575.694,1.14716,0.8436,1.21867,0.86304,0.83128,0.91216,0.61169,1.12002,0.72612,1.23392,0.000357402,0.000357402,0.000357402
15,615.209,1.11539,0.83856,1.20598,0.83433,0.85974,0.89471,0.63494,1.08265,0.73521,1.19174,0.000349895,0.000349895,0.000349895
16,655.312,1.08637,0.81241,1.19561,0.85328,0.85971,0.91667,0.64927,1.04987,0.72001,1.17681,0.000342387,0.000342387,0.000342387
17,694.589,1.06127,0.75098,1.16129,0.86281,0.84576,0.91935,0.64208,1.07781,0.69471,1.19219,0.00033488,0.00033488,0.00033488
18,733.142,1.0765,0.78061,1.16422,0.8787,0.85206,0.91525,0.64332,1.10404,0.69453,1.19082,0.000327372,0.000327372,0.000327372
19,774.465,1.10458,0.80006,1.19053,0.84397,0.87902,0.92351,0.63974,1.11122,0.69867,1.20578,0.000319865,0.000319865,0.000319865
20,812.174,1.03825,0.73258,1.15653,0.92354,0.76766,0.89696,0.62657,1.09594,0.71504,1.16863,0.000312357,0.000312357,0.000312357
21,850.56,1.06474,0.74665,1.15223,0.86578,0.85794,0.91263,0.65183,1.04134,0.68437,1.14394,0.00030485,0.00030485,0.00030485
22,889.904,1.02423,0.70461,1.1228,0.87123,0.87171,0.91957,0.64358,1.06151,0.65706,1.17424,0.000297342,0.000297342,0.000297342
23,929.61,1.018,0.68958,1.12842,0.87679,0.87522,0.91472,0.63935,1.07449,0.6563,1.17456,0.000289835,0.000289835,0.000289835
24,968.945,1.01907,0.70217,1.12971,0.89724,0.87149,0.93125,0.65158,1.07344,0.6212,1.17458,0.000282328,0.000282328,0.000282328
25,1008.34,1.00308,0.67206,1.11339,0.86602,0.86749,0.91258,0.65904,1.0275,0.66491,1.14086,0.00027482,0.00027482,0.00027482
